日期,总发病数,纬度,经度
2017-03-01,78,28.11266,112.982279
2017-04-01,57,28.11266,112.982279
2017-05-01,139,28.11266,112.982279
2017-06-01,131,28.11266,112.982279
2017-07-01,130,28.11266,112.982279
2017-08-01,140,28.11266,112.982279
2017-09-01,78,28.11266,112.982279
2017-10-01,83,28.11266,112.982279
2017-11-01,63,28.11266,112.982279
2017-12-01,46,28.11266,112.982279
2018-01-01,64,28.11266,112.982279
2018-02-01,37,28.11266,112.982279
2018-03-01,41,28.11266,112.982279
2018-04-01,67,28.11266,112.982279
2018-05-01,106,28.11266,112.982279
2018-06-01,112,28.11266,112.982279
2018-07-01,107,28.11266,112.982279
2018-08-01,89,28.11266,112.982279
2018-09-01,83,28.11266,112.982279
2018-10-01,63,28.11266,112.982279
2018-11-01,65,28.11266,112.982279
2018-12-01,46,28.11266,112.982279
2019-01-01,54,28.11266,112.982279
2019-02-01,45,28.11266,112.982279
2019-03-01,95,28.11266,112.982279
2019-04-01,271,28.11266,112.982279
2019-05-01,101,28.11266,112.982279
2019-06-01,114,28.11266,112.982279
2019-07-01,112,28.11266,112.982279
2019-08-01,109,28.11266,112.982279
2019-09-01,89,28.11266,112.982279
2019-10-01,100,28.11266,112.982279
2019-11-01,71,28.11266,112.982279
2019-12-01,45,28.11266,112.982279
2020-01-01,48,28.11266,112.982279
2020-02-01,44,28.11266,112.982279
2020-03-01,33,28.11266,112.982279
2020-04-01,46,28.11266,112.982279
2020-05-01,78,28.11266,112.982279
2020-06-01,119,28.11266,112.982279
2020-07-01,112,28.11266,112.982279
2020-08-01,89,28.11266,112.982279
2020-09-01,74,28.11266,112.982279
2020-10-01,66,28.11266,112.982279
2020-11-01,38,28.11266,112.982279
2020-12-01,21,28.11266,112.982279
